No of locations: 7
Threshold: 60
No of supply centers: 2
No of large vehicles at the supply centres: 1
No of small vehicles at supply centres: 3
X: 10
Capacity of Large vehicle: 40
loc 1: (15,14) resources: 20 large vehicles: 0 small vehicles: 1
loc 2: (10,18) resources: 20 large vehicles: 0 small vehicles: 1
loc 3: (6,9) resources: 30 large vehicles: 0 small vehicles: 0
loc 4: (10,2) resources: 20 large vehicles: 0 small vehicles: 0
loc 5: (5,16) resources: 20 large vehicles: 0 small vehicles: 0
loc 6: (19,20) resources: 80 large vehicles: 0 small vehicles: 1
loc 7: (24,3) resources: 90 large vehicles: 0 small vehicles: 0
supply 1: (12,19) resources: 260
supply 2: (10,3) resources: 130
damage(0,0): 2
damage(0,1): 0
damage(0,2): 2
damage(0,3): 0
damage(0,4): 1
damage(0,5): 0
damage(0,6): 1
damage(0,7): 1
damage(0,8): 0
damage(0,9): 0
damage(0,10): 1
damage(0,11): 0
damage(0,12): 0
damage(0,13): 2
damage(0,14): 1
damage(0,15): 0
damage(0,16): 2
damage(0,17): 2
damage(0,18): 0
damage(0,19): 1
damage(0,20): 2
damage(0,21): 1
damage(0,22): 0
damage(0,23): 1
damage(0,24): 2
damage(0,25): 1
damage(0,26): 1
damage(0,27): 0
damage(0,28): 1
damage(0,29): 2
damage(0,30): 0
damage(0,31): 0
damage(0,32): 1
damage(0,33): 0
damage(0,34): 1
damage(1,0): 2
damage(1,1): 1
damage(1,2): 0
damage(1,3): 1
damage(1,4): 2
damage(1,5): 1
damage(1,6): 0
damage(1,7): 2
damage(1,8): 2
damage(1,9): 2
damage(1,10): 1
damage(1,11): 1
damage(1,12): 1
damage(1,13): 1
damage(1,14): 1
damage(1,15): 1
damage(1,16): 2
damage(1,17): 0
damage(1,18): 1
damage(1,19): 0
damage(1,20): 0
damage(1,21): 0
damage(1,22): 2
damage(1,23): 1
damage(1,24): 1
damage(1,25): 0
damage(1,26): 0
damage(1,27): 2
damage(1,28): 1
damage(1,29): 0
damage(1,30): 1
damage(1,31): 0
damage(1,32): 1
damage(1,33): 2
damage(1,34): 2
damage(2,0): 1
damage(2,1): 1
damage(2,2): 2
damage(2,3): 1
damage(2,4): 1
damage(2,5): 0
damage(2,6): 0
damage(2,7): 0
