No of locations: 20
Threshold: 150
No of supply centers: 3
No of large vehicles at the supply centres: 1
No of small vehicles at supply centres: 2
X: 20
Capacity of Large vehicle: 100
loc 1: (7,65) resources: 60 large vehicles: 0 small vehicles: 1
loc 2: (93,46) resources: 40 large vehicles: 0 small vehicles: 0
loc 3: (23,30) resources: 60 large vehicles: 0 small vehicles: 0
loc 4: (8,86) resources: 60 large vehicles: 0 small vehicles: 0
loc 5: (89,46) resources: 20 large vehicles: 0 small vehicles: 0
loc 6: (69,43) resources: 50 large vehicles: 0 small vehicles: 0
loc 7: (81,62) resources: 70 large vehicles: 0 small vehicles: 1
loc 8: (74,27) resources: 60 large vehicles: 0 small vehicles: 0
loc 9: (46,5) resources: 20 large vehicles: 0 small vehicles: 0
loc 10: (53,29) resources: 40 large vehicles: 0 small vehicles: 1
loc 11: (68,68) resources: 10 large vehicles: 0 small vehicles: 0
loc 12: (10,3) resources: 90 large vehicles: 0 small vehicles: 0
loc 13: (94,52) resources: 190 large vehicles: 0 small vehicles: 1
loc 14: (67,96) resources: 30 large vehicles: 0 small vehicles: 0
loc 15: (69,59) resources: 30 large vehicles: 0 small vehicles: 1
loc 16: (78,59) resources: 170 large vehicles: 0 small vehicles: 0
loc 17: (44,78) resources: 40 large vehicles: 0 small vehicles: 0
loc 18: (99,33) resources: 40 large vehicles: 0 small vehicles: 1
loc 19: (73,34) resources: 120 large vehicles: 0 small vehicles: 0
loc 20: (0,17) resources: 210 large vehicles: 0 small vehicles: 0
supply 1: (31,40) resources: 1050
supply 2: (67,94) resources: 360
supply 3: (97,53) resources: 1480
damage(0,0): 0
damage(0,1): 0
damage(0,2): 2
damage(0,3): 1
damage(0,4): 1
damage(0,5): 2
damage(0,6): 0
damage(0,7): 0
damage(0,8): 0
damage(0,9): 2
damage(0,10): 0
damage(0,11): 1
damage(0,12): 1
damage(0,13): 2
damage(0,14): 1
damage(0,15): 0
damage(0,16): 1
damage(0,17): 0
damage(0,18): 2
damage(0,19): 0
damage(0,20): 2
damage(0,21): 2
damage(0,22): 0
damage(0,23): 0
damage(0,24): 1
damage(0,25): 2
damage(0,26): 1
damage(0,27): 1
damage(0,28): 1
damage(0,29): 2
damage(0,30): 2
damage(0,31): 1
damage(0,32): 0
damage(0,33): 2
damage(0,34): 0
damage(0,35): 1
damage(0,36): 1
damage(0,37): 1
damage(0,38): 1
damage(0,39): 1
damage(0,40): 2
damage(0,41): 2
damage(0,42): 1
damage(0,43): 0
damage(0,44): 2
damage(0,45): 2
damage(0,46): 2
damage(0,47): 1
damage(0,48): 2
damage(0,49): 2
damage(0,50): 2
damage(0,51): 1
damage(0,52): 1
damage(0,53): 0
damage(0,54): 2
damage(0,55): 2
damage(0,56): 0
damage(0,57): 1
damage(0,58): 1
damage(0,59): 1
damage(0,60): 0
damage(0,61): 1
damage(0,62): 0
damage(0,63): 0
damage(0,64): 0
damage(0,65): 2
damage(0,66): 1
damage(0,67): 2
damage(0,68): 0
damage(0,69): 2
damage(0,70): 2
damage(0,71): 0
damage(0,72): 0
damage(0,73): 0
damage(0,74): 1
damage(0,75): 2
damage(0,76): 0
damage(0,77): 1
damage(0,78): 1
damage(0,79): 2
damage(0,80): 0
damage(0,81): 1
damage(0,82): 1
damage(0,83): 2
damage(0,84): 2
damage(0,85): 0
damage(0,86): 1
damage(0,87): 0
damage(0,88): 0
damage(0,89): 1
damage(0,90): 0
damage(0,91): 0
damage(0,92): 2
damage(0,93): 0
damage(0,94): 1
damage(0,95): 1
damage(0,96): 0
damage(0,97): 0
damage(0,98): 1
damage(0,99): 1
damage(1,0): 1
damage(1,1): 0
damage(1,2): 2
damage(1,3): 1
damage(1,4): 1
damage(1,5): 1
damage(1,6): 1
damage(1,7): 1
damage(1,8): 2
damage(1,9): 2
damage(1,10): 1
damage(1,11): 2
damage(1,12): 1
damage(1,13): 0
damage(1,14): 1
damage(1,15): 1
damage(1,16): 2
damage(1,17): 1
damage(1,18): 1
damage(1,19): 2
damage(1,20): 2
damage(1,21): 1
damage(1,22): 2
damage(1,23): 2
damage(1,24): 0
damage(1,25): 1
damage(1,26): 1
damage(1,27): 0
damage(1,28): 2
damage(1,29): 0
damage(1,30): 2
damage(1,31): 0
damage(1,32): 0
damage(1,33): 2
damage(1,34): 1
damage(1,35): 2
damage(1,36): 1
damage(1,37): 0
damage(1,38): 1
damage(1,39): 1
damage(1,40): 2
damage(1,41): 1
damage(1,42): 1
damage(1,43): 1
damage(1,44): 1
damage(1,45): 1
damage(1,46): 2
damage(1,47): 0
damage(1,48): 2
damage(1,49): 2
damage(1,50): 2
damage(1,51): 2
damage(1,52): 1
damage(1,53): 2
damage(1,54): 2
damage(1,55): 2
damage(1,56): 0
damage(1,57): 1
damage(1,58): 0
damage(1,59): 0
damage(1,60): 2
damage(1,61): 0
damage(1,62): 0
damage(1,63): 0
damage(1,64): 0
damage(1,65): 2
damage(1,66): 0
damage(1,67): 2
damage(1,68): 2
damage(1,69): 2
damage(1,70): 1
damage(1,71): 0
damage(1,72): 0
damage(1,73): 2
damage(1,74): 1
damage(1,75): 1
damage(1,76): 0
damage(1,77): 2
damage(1,78): 0
damage(1,79): 0
damage(1,80): 1
damage(1,81): 2
damage(1,82): 2
damage(1,83): 0
damage(1,84): 2
damage(1,85): 0
damage(1,86): 0
damage(1,87): 0
damage(1,88): 1
damage(1,89): 1
damage(1,90): 0
damage(1,91): 1
damage(1,92): 1
damage(1,93): 2
damage(1,94): 1
damage(1,95): 2
damage(1,96): 2
damage(1,97): 2
damage(1,98): 2
damage(1,99): 2
damage(2,0): 2
damage(2,1): 0
damage(2,2): 0
damage(2,3): 2
damage(2,4): 0
damage(2,5): 1
damage(2,6): 1
damage(2,7): 1
damage(2,8): 1
damage(2,9): 2
damage(2,10): 2
damage(2,11): 0
damage(2,12): 2
damage(2,13): 0
damage(2,14): 1
damage(2,15): 1
damage(2,16): 0
damage(2,17): 1
damage(2,18): 2
damage(2,19): 1
damage(2,20): 0
damage(2,21): 1
damage(2,22): 2
damage(2,23): 1
damage(2,24): 1
damage(2,25): 1
damage(2,26): 1
damage(2,27): 0
damage(2,28): 0
damage(2,29): 1
damage(2,30): 0
damage(2,31): 2
damage(2,32): 1
damage(2,33): 0
damage(2,34): 2
damage(2,35): 0
damage(2,36): 0
damage(2,37): 2
damage(2,38): 2
damage(2,39): 1
damage(2,40): 1
damage(2,41): 1
damage(2,42): 2
damage(2,43): 0
damage(2,44): 1
damage(2,45): 1
damage(2,46): 0
damage(2,47): 1
damage(2,48): 0
damage(2,49): 2
damage(2,50): 0
damage(2,51): 0
damage(2,52): 1
damage(2,53): 0
damage(2,54): 2
damage(2,55): 2
damage(2,56): 2
damage(2,57): 1
damage(2,58): 0
damage(2,59): 2
damage(2,60): 2
damage(2,61): 0
damage(2,62): 0
damage(2,63): 2
damage(2,64): 2
damage(2,65): 2
damage(2,66): 2
damage(2,67): 2
damage(2,68): 1
damage(2,69): 1
damage(2,70): 1
damage(2,71): 0
damage(2,72): 2
damage(2,73): 1
damage(2,74): 1
damage(2,75): 2
damage(2,76): 2
damage(2,77): 1
damage(2,78): 0
damage(2,79): 2
damage(2,80): 2
damage(2,81): 1
damage(2,82): 2
